Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,New TSTT (Hours),Change (Minutes),Braess Link?
R Mapa St - Mandurriao - Jaro Rd,mandurriao - 4,mandurriao - 2,One-Way,664.6,Active,3312.03,2094.18,No
R Mapa St,mandurriao - 4,mandurriao - 6,Two-Way,475.5,Active,3295.61,1109.2,No
R Mapa St - Extension,mandurriao - 6,mandurriao - 7,Two-Way,0.0,Inactive,3307.32,1811.74,No
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,mandurriao - 9,mandurriao - 12,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),mandurriao - 10,mandurriao - 12,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),mandurriao - 11,mandurriao - 12,Two-Way,0.0,Inactive,3307.32,1811.74,No
E Lopez St,jaro - 1,jaro - 4,Two-Way,179.52,Active,3293.19,964.19,No
Luna St (Rev),jaro - 1,lapaz - 3,Two-Way,120.0,Active,3293.19,964.19,No
Commission Civil St,jaro - 2,jaro - 5,Two-Way,541.7,Active,3314.57,2246.62,No
Burgos St (Rev),jaro - 2,lapaz - 7,Two-Way,607.6,Active,3314.57,2246.62,No
Jereos St,jaro - 3,jaro - 25,Two-Way,0.0,Inactive,3307.32,1811.74,No
Jereos St (Rev),jaro - 3,lapaz - 6,Two-Way,0.0,Inactive,3307.32,1811.74,No
E Lopez St - Plaza Rizal St - Commission Civil St,jaro - 4,jaro - 5,One-Way,1137.14,Active,3305.3,1690.69,No
Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,jaro - 5,jaro - 6,One-Way,1071.24,Active,3319.09,2517.8,No
Plaza Rizal St - Balabago Rd,jaro - 6,jaro - 9,One-Way,1186.0,Active,3439.67,9752.46,No
Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,jaro - 6,jaro - 7,One-Way,791.3,Active,3315.66,2312.18,No
El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,One-Way,1077.62,Active,3315.0,2272.39,No
Lopez Jaena St - Plaza Rizal St,jaro - 8,jaro - 6,One-Way,791.3,Active,3315.66,2312.18,No
Lopez Jaena St - Old Lopez Jaena St,jaro - 8,jaro - 18,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo Capiz Rd - Balabago Rd (Rev),jaro - 9,jaro - 14,Two-Way,1586.06,Active,3356.44,4758.73,No
Balabago Rd,jaro - 9,jaro - 10,Two-Way,1125.84,Active,3395.74,7116.81,No
Iloilo-Capiz Rd - Lopez Jaena St,jaro - 9,jaro - 8,One-Way,1251.9,Active,3437.81,9641.14,No
Buhang Flyover - Balabago Rd (Rev),jaro - 10,jaro - 12,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,jaro - 10,jaro - 11,Two-Way,97.0,Active,3290.02,773.99,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,Two-Way,1152.8,Active,3334.99,3471.68,No
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,Two-Way,1356.3,Active,3585.37,18494.97,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,Two-Way,1587.71,Active,3311.51,2062.95,No
Buhang Flyover,jaro - 12,jaro - 13,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,Two-Way,0.0,Inactive,3307.32,1811.74,No
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 22,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 23,Two-Way,0.0,Inactive,3307.32,1811.74,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),jaro - 16,jaro - 17,Two-Way,0.0,Inactive,3307.32,1811.74,No
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,Two-Way,0.0,Inactive,3307.32,1811.74,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,Two-Way,0.0,Inactive,3307.32,1811.74,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 16,One-Way,0.0,Inactive,3307.32,1811.74,No
Monfort Blvd (Rev),jaro - 19,lapaz - 9,Two-Way,1529.8,Active,3673.31,23770.88,No
Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,Two-Way,179.52,Active,3290.15,781.54,No
Luna St - Esplanade 5,lapaz - 1,lapaz - 10,Two-Way,120.0,Active,3291.53,864.57,No
Huervana St - Rizal St,lapaz - 1,lapaz - 2,One-Way,0.0,Inactive,3307.32,1811.74,No
Rizal St - Luna St,lapaz - 2,lapaz - 3,One-Way,0.0,Inactive,3307.32,1811.74,No
Huervana St - Burgos St,lapaz - 2,lapaz - 4,Two-Way,0.0,Inactive,3307.32,1811.74,No
Rizal St - Huervana St,lapaz - 2,lapuz - 2,Two-Way,0.0,Inactive,3307.32,1811.74,No
Huervana St - Jereos St,lapaz - 4,lapaz - 5,One-Way,607.6,Active,3303.06,1555.86,No
Divinagracia St,lapaz - 4,lapuz - 1,Two-Way,0.0,Inactive,3307.32,1811.74,No
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,One-Way,541.7,Active,3326.7,2974.63,No
Lopez Jaena St,lapaz - 5,lapaz - 8,Two-Way,607.6,Active,3321.76,2678.09,No
Huervana Ext,lapaz - 6,lapaz - 7,One-Way,541.7,Active,3326.7,2974.63,No
Burgos St - Huervana St,lapaz - 7,lapaz - 4,One-Way,607.6,Active,3295.88,1125.3,No
Baldoza St,lapaz - 8,lapaz - 9,Two-Way,607.6,Active,3321.76,2678.09,No
Coastal Rd,lapaz - 9,lapuz - 7,Two-Way,130.9,Active,3311.94,2088.82,No
Railroad St,lapuz - 1,lapuz - 3,Two-Way,0.0,Inactive,3307.32,1811.74,No
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,Two-Way,3625.2,Active,3708.21,25865.28,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,Two-Way,0.0,Inactive,3307.32,1811.74,No
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,Two-Way,584.1,Active,3329.05,3115.85,No
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,Two-Way,0.0,Inactive,3307.32,1811.74,No
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,Two-Way,0.0,Inactive,3307.32,1811.74,No
