From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
mandurriao - 10,mandurriao - 12,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),0.0,2800,0.0
mandurriao - 11,mandurriao - 12,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),0.0,2800,0.0
mandurriao - 12,mandurriao - 3,Mandurriao - Sn Miguel Rd (Rev),1659.4,2800,0.593
mandurriao - 12,mandurriao - 9,Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1 (Rev),0.0,2800,0.0
mandurriao - 12,mandurriao - 10,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1) (Rev),0.0,2800,0.0
mandurriao - 12,mandurriao - 11,Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2) (Rev),0.0,2800,0.0
jaro - 1,jaro - 4,E Lopez St,179.52,2800,0.064
jaro - 1,lapaz - 3,Luna St (Rev),120.0,2800,0.043
jaro - 2,jaro - 5,Commission Civil St,541.7,1400,0.387
jaro - 2,lapaz - 7,Burgos St (Rev),607.6,1400,0.434
jaro - 3,jaro - 25,Jereos St,0.0,1400,0.0
jaro - 3,lapaz - 6,Jereos St (Rev),0.0,1400,0.0
jaro - 4,jaro - 1,E Lopez St (Rev),120.0,2800,0.043
jaro - 4,jaro - 5,E Lopez St - Plaza Rizal St - Commission Civil St,1137.14,5600,0.203
jaro - 5,jaro - 2,Commission Civil St (Rev),607.6,1400,0.434
jaro - 5,jaro - 6,Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,1071.24,5600,0.191
jaro - 6,jaro - 9,Plaza Rizal St - Balabago Rd,1186.0,1400,0.847
jaro - 6,jaro - 7,Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,791.3,7000,0.113
jaro - 7,jaro - 4,El 98 St - Plaza Rizal St - E Lopez St,1077.62,5600,0.192
jaro - 7,mandurriao - 1,El 98 St,928.2,2800,0.331
jaro - 8,jaro - 6,Lopez Jaena St - Plaza Rizal St,791.3,4200,0.188
jaro - 8,jaro - 18,Lopez Jaena St - Old Lopez Jaena St,0.0,1400,0.0
jaro - 9,jaro - 14,Iloilo Capiz Rd - Balabago Rd (Rev),1586.06,2800,0.566
jaro - 9,jaro - 10,Balabago Rd,1125.84,2800,0.402
jaro - 9,jaro - 8,Iloilo-Capiz Rd - Lopez Jaena St,1251.9,2800,0.447
jaro - 10,jaro - 12,Buhang Flyover - Balabago Rd (Rev),0.0,2800,0.0
jaro - 10,jaro - 11,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,97.0,1400,0.069
jaro - 10,jaro - 9,Balabago Rd (Rev),1190.08,2800,0.425
jaro - 11,jaro - 20,Monfort Blvd - Leganes,1152.8,2800,0.412
jaro - 11,jaro - 19,Lapaz - Monfort Blvd (Rev),1356.3,2800,0.484
jaro - 11,jaro - 10,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd (Rev),162.9,1400,0.116
jaro - 12,jaro - 14,Iloilo-Capiz Rd - Buhang Flyover (Rev),1587.71,1400,1.134
jaro - 12,jaro - 10,Buhang Flyover - Balabago Rd,0.0,2800,0.0
jaro - 12,jaro - 13,Buhang Flyover,0.0,1400,0.0
jaro - 13,jaro - 15,Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),0.0,2800,0.0
jaro - 13,jaro - 14,Buhang Flyover - Iloilo-Capiz Rd,0.0,1400,0.0
jaro - 13,jaro - 12,Buhang Flyover (Rev),0.0,1400,0.0
jaro - 14,jaro - 13,Buhang Flyover - Iloilo-Capiz Rd (Rev),0.0,1400,0.0
jaro - 14,jaro - 12,Iloilo-Capiz Rd - Buhang Flyover,1586.06,1400,1.133
jaro - 14,jaro - 21,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,0.0,2800,0.0
jaro - 14,jaro - 9,Iloilo Capiz Rd - Balabago Rd,1587.71,2800,0.567
jaro - 15,jaro - 22,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,0.0,2800,0.0
jaro - 15,jaro - 13,Iloilo Radial By-Pass Rd 4 - Buhang Flyover,0.0,2800,0.0
jaro - 15,jaro - 23,Iloilo Radial By-Pass Rd 4,0.0,2800,0.0
jaro - 16,jaro - 17,Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),0.0,5600,0.0
jaro - 16,jaro - 24,Old Iloilo-Capiz Rd - Pavia,0.0,5600,0.0
jaro - 17,mandurriao - 1,Old Iloilo-Capiz Rd - Old Lopez Jaena St,0.0,5600,0.0
jaro - 17,jaro - 16,Old Iloilo-Capiz Rd - Old Lopez Jaena St,0.0,5600,0.0
jaro - 17,jaro - 18,Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),0.0,2800,0.0
jaro - 18,jaro - 8,Lopez Jaena St - Old Lopez Jaena St (Rev),0.0,1400,0.0
jaro - 18,jaro - 17,Old Lopez Jaena St - Old Iloilo-Capiz Rd,0.0,2800,0.0
jaro - 18,jaro - 16,Old Lopez Jaena St - Old Iloilo-Capiz Rd,0.0,2800,0.0
jaro - 19,jaro - 11,Lapaz - Monfort Blvd,1422.2,2800,0.508
jaro - 19,lapaz - 9,Monfort Blvd (Rev),1529.8,2800,0.546
jaro - 20,jaro - 11,Monfort Blvd - Leganes (Rev),1152.8,2800,0.412
jaro - 21,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 (Rev),0.0,2800,0.0
jaro - 22,jaro - 15,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4 (Rev),0.0,2800,0.0
jaro - 23,jaro - 15,Iloilo Radial By-Pass Rd 4 (Rev),0.0,2800,0.0
jaro - 24,jaro - 16,Old Iloilo-Capiz Rd - Pavia (Rev),0.0,5600,0.0
jaro - 25,jaro - 3,Jereos St (Rev),0.0,1400,0.0
lapaz - 1,lapaz - 3,Luna St - Huervana St (Rev),179.52,2800,0.064
lapaz - 1,lapaz - 10,Luna St - Esplanade 5,120.0,2800,0.043
lapaz - 1,lapaz - 2,Huervana St - Rizal St,0.0,5600,0.0
lapaz - 2,lapaz - 3,Rizal St - Luna St,0.0,5600,0.0
lapaz - 2,lapaz - 4,Huervana St - Burgos St,0.0,2800,0.0
lapaz - 2,lapuz - 2,Rizal St - Huervana St,0.0,2800,0.0
lapaz - 3,jaro - 1,Luna St,179.52,2800,0.064
lapaz - 3,lapaz - 1,Luna St - Huervana St,120.0,2800,0.043
lapaz - 4,lapaz - 2,Huervana St - Burgos St (Rev),0.0,2800,0.0
lapaz - 4,lapaz - 5,Huervana St - Jereos St,607.6,5600,0.108
lapaz - 4,lapuz - 1,Divinagracia St,0.0,1400,0.0
lapaz - 5,lapaz - 6,Jereos St - Huervana Ext,541.7,5600,0.097
lapaz - 5,lapaz - 8,Lopez Jaena St,607.6,2800,0.217
lapaz - 6,lapaz - 7,Huervana Ext,541.7,4200,0.129
lapaz - 6,jaro - 3,Jereos St,0.0,1400,0.0
lapaz - 7,lapaz - 4,Burgos St - Huervana St,607.6,5600,0.108
lapaz - 7,jaro - 2,Burgos St,541.7,1400,0.387
lapaz - 8,lapaz - 5,Lopez Jaena St (Rev),541.7,2800,0.193
lapaz - 8,lapaz - 9,Baldoza St,607.6,2800,0.217
lapaz - 9,lapaz - 8,Baldoza St (Rev),541.7,2800,0.193
lapaz - 9,lapuz - 7,Coastal Rd,130.9,2800,0.047
