A,B,distance,lanes,oneway,name,speed
jaro - 2,jaro - 5,1000,1,False,Commission Civil St,40
jaro - 1,jaro - 4,1000,2,False,E Lopez St,40
jaro - 6,jaro - 9,550,1,True,Plaza Rizal St - Balabago Rd,40
jaro - 9,jaro - 8,500,2,True,Iloilo-Capiz Rd - Lopez Jaena St,40
jaro - 8,jaro - 6,260,3,True,Lopez Jaena St - Plaza Rizal St,40
jaro - 8,jaro - 18,2300,1,False,Lopez Jaena St - Old Lopez Jaena St,40
jaro - 18,jaro - 17,100,2,False,Old Lopez Jaena St - Old Iloilo-Capiz Rd,40
jaro - 18,jaro - 16,270,2,True,Old Lopez Jaena St - Old Iloilo-Capiz Rd,40
jaro - 7,jaro - 4,190,4,True,El 98 St - Plaza Rizal St - E Lopez St,40
jaro - 4,jaro - 5,120,4,True,E Lopez St - Plaza Rizal St - Commission Civil St,40
jaro - 5,jaro - 6,230,4,True,Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,40
jaro - 6,jaro - 7,160,5,True,Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,40
jaro - 7,mandurriao - 1,700,2,False,El 98 St,40
lapaz - 3,jaro - 1,800,2,False,Luna St,40
lapaz - 3,lapaz - 1,170,2,False,Luna St - Huervana St,40
lapaz - 1,lapaz - 10,160,2,False,Luna St - Esplanade 5,40
lapaz - 2,lapaz - 3,160,4,True,Rizal St - Luna St,40
lapaz - 1,lapaz - 2,110,4,True,Huervana St - Rizal St,40
lapaz - 2,lapaz - 4,350,2,False,Huervana St - Burgos St,40
lapaz - 4,lapaz - 5,210,4,True,Huervana St - Jereos St,40
lapaz - 5,lapaz - 6,200,4,True,Jereos St - Huervana Ext,40
lapaz - 6,lapaz - 7,210,3,True,Huervana Ext,40
lapaz - 7,lapaz - 4,180,4,True,Burgos St - Huervana St,40
lapaz - 5,lapaz - 8,500,2,False,Lopez Jaena St,40
lapaz - 8,lapaz - 9,650,2,False,Baldoza St,40
lapaz - 9,lapuz - 7,1200,2,False,Coastal Rd,70
lapaz - 9,jaro - 19,1800,2,False,Monfort Blvd,70
lapaz - 7,jaro - 2,850,1,False,Burgos St,40
lapaz - 6,jaro - 3,600,1,False,Jereos St,40
lapaz - 4,lapuz - 1,450,1,False,Divinagracia St,40
lapuz - 1,lapuz - 3,550,1,False,Railroad St,40
lapaz - 2,lapuz - 2,850,2,False,Rizal St - Huervana St,40
lapuz - 2,lapuz - 4,600,2,False,Rizal St - Ferry Terminal Access Rd,40
lapuz - 4,lapuz - 5,600,3,False,New Iloilo Ferry Terminal Access Rd,40
lapuz - 4,lapuz - 6,700,2,False,Rizal St - Iloilo Airport Direct Rd,40
lapuz - 6,lapuz - 7,1100,2,False,Lapuz Mansaya Loboc Rd,40
lapuz - 6,lapuz - 8,240,1,False,Iloilo Airport Direct Rd,40
